name,min,max
calories_kcal,1800.0,2200.0
calcium_mg,1000.0,2500.0
iron_mg,8.0,45.0
manganese_mg,2.3,11.0
phosphorus_mg,700.0,4000.0
zinc_mg,11.0,40.0
vitamin_b6_mg,1.3,100.0
vitamin_c_mg,90.0,2000.0
choline_mg,550.0,3500.0
vitamin_e_mg,15.0,1000.0
niacin_mg,16.0,35.0
copper_mg,0.9,10.0
fluoride_mcg,4.0,10.0
iodine_mcg,150.0,1100.0
molybdenum_mcg,45.0,2000.0
chloride_g,2.3,3.6
selenium_mcg,55.0,400.0
folate_mcg,400.0,1000.0
vitamin_a_mcg,900.0,3000.0
vitamin_d_iu,600.0,4000.0
chromium_mcg,35.0,
magnesium_mg,400.0,
potassium_mg,3400.0,
sodium_mg,1500.0,
biotin_mcg,30.0,
vitamin_b12_mcg,2.4,
vitamin_k_mcg,120.0,
thiamin_mg,1.2,
riboflavin_mg,1.3,
pantothenic_acid_mg,5.0,
alpha_linolenic_acid_g,1.6,
linoleic_acid_g,17.0,
histidine_mg_kg,14.0,
isoleucine_mg_kg,19.0,
leucine_mg_kg,42.0,
lysine_mg_kg,38.0,
methionine_and_cysteine_mg_kg,19.0,
phenylalanine_and_tyrosine_mg_kg,33.0,
threonine_mg_kg,20.0,
tryptophan_mg_kg,5.0,
valine_mg_kg,24.0,
fiber_g,38.0,
protein_g_kg,0.8,